
smiles,prediction,mean_similarity,in_AD,MolWt,MolLogP,HBD,HBA,RotatableBonds
O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,8.997764587402344,0.897904761904762,True,478.93600000000026,4.586400000000005,3,7,7
CC(C)(/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,8.812578201293945,0.921446295639844,True,665.7739999999997,4.4153800000000025,1,11,8
CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,7.777980327606201,0.7237368543654018,True,442.52300000000014,4.441300000000003,1,7,5
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,7.577404022216797,0.36163689009472855,False,479.43400000000014,3.432200000000001,3,6,7
CCC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,7.4663190841674805,0.7002001799370221,True,473.57700000000017,4.446600000000003,2,6,6
C/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,7.250964641571045,0.6939574546121401,True,467.53300000000013,3.865400000000002,2,7,5
