
smiles,prediction,mean_similarity,in_AD,MolWt,MolLogP,HBD,HBA,RotatableBonds
CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c5ccc(O)c(OS(=O)(=O)[O][Na])c5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)no2)cc1,7.69766092300415,0.18362842016283315,False,1292.2730000000004,-4.359899999999997,15,24,19
C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,7.678263187408447,0.6568008168127286,True,427.50400000000013,4.531800000000004,1,4,6
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.669482707977295,0.36956287101996765,False,525.6570000000003,5.307700000000005,2,8,11
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,7.666346549987793,0.25063656977942694,False,463.62200000000036,4.857100000000004,1,5,10
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,7.66168737411499,0.29299499942703827,False,560.6490000000001,5.026900000000004,3,6,7
CC1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,7.647777557373047,0.21422232631578303,False,406.4210000000001,2.8006800000000007,1,7,0
CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,7.626834869384766,0.27112859080574847,False,419.3840000000001,1.3528,2,6,3
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,7.622174263000488,0.1898957453965962,False,285.691,-0.2974000000000002,3,8,2
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,7.61904764175415,0.3765958349229832,False,454.8700000000001,5.638120000000003,2,7,6
CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.607508182525635,0.22187242713457164,False,534.4320000000002,4.952100000000003,2,5,6
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,7.587762355804443,0.2102886831516856,False,451.61500000000024,3.193900000000002,2,4,8
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.584142208099365,0.3833862433862433,False,499.6190000000003,4.509800000000003,2,8,10
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.584142208099365,0.3833862433862433,False,499.6190000000003,4.509800000000003,2,8,10
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C(C)C(F)(F)F)c(N)c2C(N)=O)cc1,7.577404022216797,0.36163689009472855,False,479.4340000000002,3.432200000000001,3,6,7
CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O][Na])c3C(=O)N12,7.570417881011963,0.26967905725652896,False,441.36600000000016,1.1095,1,6,4
Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1,7.55905294418335,0.23579338535860278,False,450.3230000000002,1.5126999999999997,2,9,6
CCN1CC(C)n2c(c(O)c3c(=O)n(Cc4ccc(F)c(Cl)c4)nc(C(=O)NC)c32)C1=O,7.556185245513916,0.21749197481476384,False,461.8810000000002,2.1407,2,7,4
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,7.534216403961182,0.33781634563937935,False,482.821,5.688800000000002,3,4,5
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,7.534216403961182,0.33781634563937935,False,482.8210000000001,5.688800000000002,3,4,5
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,7.534216403961182,0.33781634563937935,False,482.8210000000001,5.688800000000001,3,4,5
C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OC1CC1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,7.519805431365967,0.188392308097096,False,766.918,3.3019000000000034,3,11,7
O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,7.5186848640441895,0.21894619122551787,False,625.8750000000002,6.502500000000004,2,4,6
Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,7.512191295623779,0.2200515873015873,False,427.41700000000014,0.6663999999999999,6,6,9
COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc3c(c2)OC(c2ccccc2)n2c-3cc3cc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,7.50714635848999,0.23594042806582988,False,882.0349999999997,8.116000000000009,4,10,11
COc1ccc(CNc2nc(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,7.506477355957031,0.3085409116917795,False,483.96000000000026,2.4318,3,9,9
COc1ccc(CNc2nc(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,7.506477355957031,0.3085409116917795,False,483.96000000000026,2.4318,3,9,9
NC(=O)N1CCC(CC(=O)N2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,7.489861011505127,0.2537206369962173,False,638.8320000000001,5.909900000000006,1,3,3
Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,7.487789630889893,0.16774295288783755,False,244.22199999999998,-0.53708,2,5,2
CC(=O)c1nn(CC(=O)N2CC(F)CC2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,7.487110614776611,0.2520622941295757,False,580.418,3.7395200000000015,1,8,6
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,7.483151912689209,0.2701917130488559,False,437.52900000000017,3.1390400000000005,2,8,5
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,7.483151912689209,0.2701917130488559,False,437.52900000000017,3.1390400000000005,2,8,5
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,7.468480587005615,0.3275221619680818,False,580.4660000000001,3.094500000000001,4,12,10
CN1CC2CC1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,7.465896129608154,0.2073926073926074,False,357.3850000000001,2.0664,1,5,3
O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1,7.445633411407471,0.23679304355626024,False,428.4430000000002,2.9475000000000016,2,6,3
O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1,7.445633411407471,0.23679304355626024,False,428.4430000000002,2.9475000000000016,2,6,3
Cn1cc(-c2cc3c(N4CCN(c5ncc(C(C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,7.442758083343506,0.25034829832076705,False,498.5700000000002,2.6077000000000004,1,10,5
Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,7.434970378875732,0.16211887917880427,False,303.6809999999999,-0.34940000000000004,3,8,2
O=C(O)CNC(=O)c1c(O)cc(CCc2ccccc2)n2ncnc12,7.428266525268555,0.247058610185047,False,340.339,1.0344999999999995,3,6,6
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,7.4250922203063965,0.403763941471783,False,501.51400000000024,5.5408000000000035,2,6,8
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,7.4250922203063965,0.403763941471783,False,501.51400000000024,5.5408000000000035,2,6,8
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.417648792266846,0.364583709131315,False,464.8310000000001,5.549700000000002,3,4,5
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.417648792266846,0.364583709131315,False,464.8310000000001,5.549700000000002,3,4,5
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,7.393693923950195,0.26328298860493715,False,451.4830000000003,1.7178,1,9,4
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,7.393693923950195,0.26328298860493715,False,451.4830000000003,1.7178,1,9,4
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,7.387949466705322,0.25487366592206506,False,251.24599999999998,-0.9508000000000003,3,8,2
CC1C(c2ccccc2)CC(NC(=O)c2cnc3c(c2)CC2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,7.38026237487793,0.2188533850168223,False,549.5530000000002,3.5306000000000015,2,5,4
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)C(C)C1,7.377496719360352,0.2741209403646169,False,560.6050000000001,4.4814200000000035,1,8,5
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)C(C)C1,7.377496719360352,0.2741209403646169,False,560.6050000000001,4.4814200000000035,1,8,5
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,7.376972675323486,0.1698937328648106,False,246.19399999999996,-1.6835999999999995,3,6,2
